(0.0, 'F-Count-Average-Case-C3')
(0.0, 'F-Count-Average-Case-C2')
(0.0, 'F-Count-Average-Case-C1')
(0.0, 'F-Count-Average-C3')
(0.0, 'F-Count-Average-C2')
(0.0, 'F-Count-Average-C1')
(0.0, 'F-Count-And-C3')
(0.0, 'F-Count-And-C2')
(0.0, 'F-Count-And-C1')
(0.0, 'F-Count-::-Case-C3')
(0.0, 'F-Count-::-Case-C2')
(0.0, 'F-Count-(,)-Case-C3')
